"Position","Total: Paid hours","Wed, Jan 1","Thu, Jan 2","Fri, Jan 3","Sat, Jan 4","Sun, Jan 5","Mon, Jan 6","Tue, Jan 7","Wed, Jan 8","Thu, Jan 9","Fri, Jan 10","Sat, Jan 11","Sun, Jan 12","Mon, Jan 13","Tue, Jan 14","Wed, Jan 15","Thu, Jan 16","Fri, Jan 17","Sat, Jan 18","Sun, Jan 19","Mon, Jan 20","Tue, Jan 21","Wed, Jan 22","Thu, Jan 23","Fri, Jan 24","Sat, Jan 25","Sun, Jan 26","Mon, Jan 27","Tue, Jan 28","Wed, Jan 29","Thu, Jan 30","Fri, Jan 31","Sat, Feb 1","Sun, Feb 2","Mon, Feb 3","Tue, Feb 4","Wed, Feb 5","Thu, Feb 6","Fri, Feb 7","Sat, Feb 8","Sun, Feb 9","Mon, Feb 10","Tue, Feb 11","Wed, Feb 12","Thu, Feb 13","Fri, Feb 14","Sat, Feb 15","Sun, Feb 16","Mon, Feb 17","Tue, Feb 18","Wed, Feb 19","Thu, Feb 20","Fri, Feb 21","Sat, Feb 22","Sun, Feb 23","Mon, Feb 24","Tue, Feb 25","Wed, Feb 26","Thu, Feb 27","Fri, Feb 28","Sat, Mar 1","Sun, Mar 2"
"","3134","42","66","50","25","16","49","74","74","74","58","25","16","49","74","74","74","58","25","16","49","74","74","74","58","25","16","49","74","66","66","49","25","16","49","74","74","74","58","25","16","49","74","74","74","58","25","16","49","74","74","74","58","25","16","49","74","74","74","58","25","16"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wintel Operations","336","Holiday Off","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","Time off request","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER"
"Wintel Operations",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","AMER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wintel Operations","356","AMER","AMER","","","AMER","AMER","Vacation","AMER","AMER","","","AMER","AMER","AMER","AMER","Time off request","","","AMER","AMER","AMER","Time off request","Vacation","","","AMER","AMER","AMER","AMER","AMER","","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","",""
"Wintel Operations",,"","","","","","","AMER","","","","","","","","","AMER","","","","","","AMER","AMER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wintel Operations","344","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","",""
"Wintel Operations","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wintel Operations","344","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","",""
"Wintel Operations","344","Holiday Off","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA",""
"Wintel Operations","328","Holiday Off","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","","","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER","","","AMER","AMER","AMER","AMER","AMER",""
"Wintel Operations","320","Holiday Off","","","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","",""
"Wintel Operations","0","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wintel Operations","396","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC",""
"Wintel Operations","366","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","APAC","","","APAC","APAC","APAC","APAC","","","Time off request","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA","EMEA","EMEA","EMEA","EMEA","","","EMEA"
"Wintel Operations",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMEA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wintel Operations","0","Off","Off","Off","","","Off","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wintel Operations","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
